Subject, StartDate, EndDate, StartTime, EndTime, Location, Description
الفجر, 2024/04/30, 2024/04/30, 04:20, 04:45, Sharjah City, حان الآن موعد صلاة الفجر حسب التوقيت المحلي لمدينة الشارقة
الظهر, 2024/04/30, 2024/04/30, 12:18, 12:38, Sharjah City, حان الآن موعد صلاة الظهر حسب التوقيت المحلي لمدينة الشارقة
العصر, 2024/04/30, 2024/04/30, 15:45, 15:65, Sharjah City, حان الآن موعد صلاة العصر حسب التوقيت المحلي لمدينة الشارقة
المغرب, 2024/04/30, 2024/04/30, 18:51, 18:56, Sharjah City, حان الآن موعد صلاة المغرب حسب التوقيت المحلي لمدينة الشارقة
العشاء, 2024/04/30, 2024/04/30, 20:11, 20:31, Sharjah City, حان الآن موعد صلاة العشاء حسب التوقيت المحلي لمدينة الشارقة
الفجر, 2024/05/01, 2024/05/01, 04:19, 04:44, Sharjah City, حان الآن موعد صلاة الفجر حسب التوقيت المحلي لمدينة الشارقة
الظهر, 2024/05/01, 2024/05/01, 12:18, 12:38, Sharjah City, حان الآن موعد صلاة الظهر حسب التوقيت المحلي لمدينة الشارقة
العصر, 2024/05/01, 2024/05/01, 15:45, 15:65, Sharjah City, حان الآن موعد صلاة العصر حسب التوقيت المحلي لمدينة الشارقة
المغرب, 2024/05/01, 2024/05/01, 18:52, 18:57, Sharjah City, حان الآن موعد صلاة المغرب حسب التوقيت المحلي لمدينة الشارقة
العشاء, 2024/05/01, 2024/05/01, 20:12, 20:32, Sharjah City, حان الآن موعد صلاة العشاء حسب التوقيت المحلي لمدينة الشارقة
الفجر, 2024/05/02, 2024/05/02, 04:18, 04:43, Sharjah City, حان الآن موعد صلاة الفجر حسب التوقيت المحلي لمدينة الشارقة
الظهر, 2024/05/02, 2024/05/02, 12:18, 12:38, Sharjah City, حان الآن موعد صلاة الظهر حسب التوقيت المحلي لمدينة الشارقة
العصر, 2024/05/02, 2024/05/02, 15:44, 15:64, Sharjah City, حان الآن موعد صلاة العصر حسب التوقيت المحلي لمدينة الشارقة
المغرب, 2024/05/02, 2024/05/02, 18:52, 18:57, Sharjah City, حان الآن موعد صلاة المغرب حسب التوقيت المحلي لمدينة الشارقة
العشاء, 2024/05/02, 2024/05/02, 20:12, 20:32, Sharjah City, حان الآن موعد صلاة العشاء حسب التوقيت المحلي لمدينة الشارقة
الفجر, 2024/05/03, 2024/05/03, 04:17, 04:42, Sharjah City, حان الآن موعد صلاة الفجر حسب التوقيت المحلي لمدينة الشارقة
الظهر, 2024/05/03, 2024/05/03, 12:17, 12:37, Sharjah City, حان الآن موعد صلاة الظهر حسب التوقيت المحلي لمدينة الشارقة
العصر, 2024/05/03, 2024/05/03, 15:44, 15:64, Sharjah City, حان الآن موعد صلاة العصر حسب التوقيت المحلي لمدينة الشارقة
المغرب, 2024/05/03, 2024/05/03, 18:53, 18:58, Sharjah City, حان الآن موعد صلاة المغرب حسب التوقيت المحلي لمدينة الشارقة
