Subject, StartDate, EndDate, StartTime, EndTime, Location, Description
الفجر, 2024/05/01, 2024/05/01, 04:16, 04:41, المنطقة الشرقية, حان الآن موعد صلاة الفجر حسب التوقيت المحلي لـ المنطقة الشرقية
الظهر, 2024/05/01, 2024/05/01, 12:14, 12:34, المنطقة الشرقية, حان الآن موعد صلاة الظهر حسب التوقيت المحلي لـ المنطقة الشرقية
العصر, 2024/05/01, 2024/05/01, 15:41, 15:61, المنطقة الشرقية, حان الآن موعد صلاة العصر حسب التوقيت المحلي لـ المنطقة الشرقية
المغرب, 2024/05/01, 2024/05/01, 18:48, 18:53, المنطقة الشرقية, حان الآن موعد صلاة المغرب حسب التوقيت المحلي لـ المنطقة الشرقية
العشاء, 2024/05/01, 2024/05/01, 20:08, 20:28, المنطقة الشرقية, حان الآن موعد صلاة العشاء حسب التوقيت المحلي لـ المنطقة الشرقية
الفجر, 2024/05/02, 2024/05/02, 04:15, 04:40, المنطقة الشرقية, حان الآن موعد صلاة الفجر حسب التوقيت المحلي لـ المنطقة الشرقية
الظهر, 2024/05/02, 2024/05/02, 12:14, 12:34, المنطقة الشرقية, حان الآن موعد صلاة الظهر حسب التوقيت المحلي لـ المنطقة الشرقية
العصر, 2024/05/02, 2024/05/02, 15:41, 15:61, المنطقة الشرقية, حان الآن موعد صلاة العصر حسب التوقيت المحلي لـ المنطقة الشرقية
المغرب, 2024/05/02, 2024/05/02, 18:49, 18:54, المنطقة الشرقية, حان الآن موعد صلاة المغرب حسب التوقيت المحلي لـ المنطقة الشرقية
العشاء, 2024/05/02, 2024/05/02, 20:09, 20:29, المنطقة الشرقية, حان الآن موعد صلاة العشاء حسب التوقيت المحلي لـ المنطقة الشرقية
الفجر, 2024/05/03, 2024/05/03, 04:14, 04:39, المنطقة الشرقية, حان الآن موعد صلاة الفجر حسب التوقيت المحلي لـ المنطقة الشرقية
الظهر, 2024/05/03, 2024/05/03, 12:14, 12:∑∑∑34, المنطقة الشرقية, حان الآن موعد صلاة الظهر حسب التوقيت المحلي لـ المنطقة الشرقية
العصر, 2024/05/03, 2024/05/03, 15:41, 15:61, المنطقة الشرقية, حان الآن موعد صلاة العصر حسب التوقيت المحلي لـ المنطقة الشرقية
المغرب, 2024/05/03, 2024/05/03, 18:49, 18:54, المنطقة الشرقية, حان الآن موعد صلاة المغرب حسب التوقيت المحلي لـ المنطقة الشرقية
العشاء, 2024/05/03, 2024/05/03, 20:10, 20:30, المنطقة الشرقية, حان الآن موعد صلاة العشاء حسب التوقيت المحلي لـ المنطقة الشرقية
